sentence,sentiment,seed_words,seed_words_mood
to relieve you of chancellor palpatine not join him have,negative,to relieve you of chancellor,positive
name obiwan since oh before you were born you two,neutral,name obiwan since oh before,neutral
you not been so impatient to defeat vader then you,anticipation,you not been so impatient,anticipation
artoo switch on the comlink do artoo it certainly cant,neutral,artoo switch on the comlink,neutral
a morecivilized time for over over the left and left,neutral,a morecivilized time for over,anticipation
it surrounds us and penetrates us us grind us killed,fear,it surrounds us and penetrates,fear
brokenand dont forget shes apolitician theyre apolitician all betrusted over,neutral,brokenand dont forget shes apolitician,neutral
as well thats not all very proud that you two,sad,as well thats not all,negative
by rushing back prematurely i fear something back and you,fear,by rushing back prematurely i,surprise
course but it was a good friend which reminds he,joy,course but it was a,neutral
