sentence,mood,seed_words,seed_words_mood
remains vader you must confront you become ready you you,anticipation,remains vader you must confront,anger
transform into the force mourn you not it your you,negative,transform into the force mourn,negative
hurry careful timing we will need i are are you,positive,hurry careful timing we will,anticipation
times nothing is what itappears to the dark side side,sadness,times nothing is what itappears,neutral
twilight is upon me and the dark side the dark,sadness,twilight is upon me and,neutral
then a jedi will you have for i old to,neutral,then a jedi will you,neutral
of the emperor or suffer the force the dark side,sadness,of the emperor or suffer,negative
itappears to be but the force you are be with,fear,itappears to be but the,neutral
train yourself to let go it it is will be,positive,train yourself to let go,positive
a fully trained jedi knight the deepest force become you,negative,a fully trained jedi knight,positive
